User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,Average,Mean,Mode,Sum,Minimum,Maximum,Count,Median,Rand,Kurt,variations,basic,Standard,Premium,EVEN,Even count,COUNTIFS,Monthly revenue of basic,Monthly revenue of standard,Monthly revenue of Premium
1,Basic,10,15-01-2022,10-06-2023,United States,28,Male,Smartphone,1 Month,38.7956,39,39,96989,26,51,2500,39,0.566308316,-1.199631777,51.41382064,999,768,733,TRUE,1175,195,12469,9573,9229
2,Premium,15,05-09-2021,22-06-2023,Canada,35,Female,Tablet,1 Month,,,,,,,,,,,,,,,FALSE,,,,,
3,Standard,12,28-02-2023,27-06-2023,United Kingdom,42,Male,Smart TV,1 Month,,,,,,,,,,,,,TOTAL,2500,TRUE,,,,,
4,Standard,12,10-07-2022,26-06-2023,Australia,51,Female,Laptop,1 Month,,,,,,,,,,,,,,,FALSE,,,,,
5,Basic,10,01-05-2023,28-06-2023,Germany,33,Male,Smartphone,1 Month,,,,,,,,,,,,,,,FALSE,,,,,
6,Premium,15,18-03-2022,27-06-2023,France,29,Female,Smart TV,1 Month,,,,,,,,,,,,,,,FALSE,,,,,
7,Standard,12,09-12-2021,25-06-2023,Brazil,46,Male,Tablet,1 Month,,sum of revenue with germany female age below 35,1286,,,,,,,,,,,,TRUE,,,,,
8,Basic,10,02-04-2023,24-06-2023,Mexico,39,Female,Laptop,1 Month,,,,,,,,,,,,,,,FALSE,,,,,
9,Standard,12,20-10-2022,23-06-2023,Spain,37,Male,Smartphone,1 Month,,,,,,,,,,,,,,,FALSE,,,,,
10,Premium,15,07-01-2023,22-06-2023,Italy,44,Female,Smart TV,1 Month,,,,,,,,,,,,,,,TRUE,,,,,
11,Basic,10,16-05-2022,22-06-2023,United States,31,Female,Smartphone,1 Month,,,,,,,,,,,,,,,FALSE,,,,,
12,Premium,15,23-03-2023,28-06-2023,Canada,45,Male,Tablet,1 Month,,,,,,,,,,,,,,,FALSE,,,,,
13,Standard,12,30-11-2021,27-06-2023,United Kingdom,48,Female,Laptop,1 Month,,,,,,,,,,,,,,,TRUE,,,,,
